Key,Mode,Component,Palette,PaletteLbl,Element,HexCode,RGB,UsageNotes,Font,SizePts
28,Light,Chart,Diverging: Continuous, Continuous,Mid,#DEDEDE,"(222, 222, 222)",,,
29,Light,Chart,Groups: 2, 2,Cat 1,#5085BC,"(80, 133, 188)",,,
30,Light,Chart,Groups: 2, 2,Cat 2,#FF9015,"(255, 144, 21)",,,
31,Light,Chart,Groups: 2, 2,Total/Avg,#003A70,"(0, 58, 112)",,,
32,Light,Chart,Groups: 3, 3,Cat 1,#5085BC,"(80, 133, 188)",,,
33,Light,Chart,Groups: 3, 3,Cat 2,#FF9015,"(255, 144, 21)",,,
34,Light,Chart,Groups: 3, 3,Cat 3,#922880,"(146, 40, 128)",,,
35,Light,Chart,Groups: 3, 3,Total/Avg,#003A70,"(0, 58, 112)",,,
36,Light,Chart,Groups: 4, 4,Cat 1,#5085BC,"(80, 133, 188)",,,
37,Light,Chart,Groups: 4, 4,Cat 2,#FF9015,"(255, 144, 21)",,,
38,Light,Chart,Groups: 4, 4,Cat 3,#922880,"(146, 40, 128)",,,
39,Light,Chart,Groups: 4, 4,Cat 4,#3D803F,"(61, 128, 63)",,,
40,Light,Chart,Groups: 4, 4,Total/Avg,#003A70,"(0, 58, 112)",,,
41,Light,Chart,Groups: 5, 5,Cat 1,#5085BC,"(80, 133, 188)",,,
42,Light,Chart,Groups: 5, 5,Cat 2,#FF9015,"(255, 144, 21)",,,
43,Light,Chart,Groups: 5, 5,Cat 3,#922880,"(146, 40, 128)",,,
44,Light,Chart,Groups: 5, 5,Cat 4,#3D803F,"(61, 128, 63)",,,
45,Light,Chart,Groups: 5, 5,Cat 5,#D3B10B,"(211, 177, 11)",,,
46,Light,Chart,Groups: 5, 5,Total/Avg,#003A70,"(0, 58, 112)",,,
47,Light,Chart,Groups: 6, 6,Cat 1,#5085BC,"(80, 133, 188)",,,
48,Light,Chart,Groups: 6, 6,Cat 2,#FF9015,"(255, 144, 21)",,,
49,Light,Chart,Groups: 6, 6,Cat 3,#922880,"(146, 40, 128)",,,
50,Light,Chart,Groups: 6, 6,Cat 4,#3D803F,"(61, 128, 63)",,,
51,Light,Chart,Groups: 6, 6,Cat 5,#D3B10B,"(211, 177, 11)",,,
52,Light,Chart,Groups: 6, 6,Cat 6,#BE7EB3,"(190, 126, 179)",,,
53,Light,Chart,Groups: 6, 6,Total/Avg,#003A70,"(0, 58, 112)",,,
54,Light,Chart,Chart Elements,,Axis Ruler,#DEDEDE,"(222, 222, 222)",,,
